Sender,Message
SINHA,Saradaga anna le ....
Sowmya,Saripoindhi
Sowmya,Ee holidays lo okka sari Aina gurthochana?
SINHA,Ahha.... Avuna 🙃
Sowmya,Ila aduguthunte nake adhola vundhi🤦‍♀️
Sowmya,Aditya aithe...naku share chedha anukunna reels ani save chesi mari pettadu thelusa
Sowmya,Chedham*
SINHA,Ee msgs chudaleyda..... 🙄
SINHA,.
Sowmya,Choosaaa
Sowmya,Ma anna stadium ki veltharu
Sowmya,Shuttle adadaniki
Sowmya,Night 2 ki vasthadu🥲
Sowmya,6 ki velthadu evening
Sowmya,Naa daggare vuntadhi phone kani vadani anthey
SINHA,Avuna... Eedhi cheppale mari
Sowmya,Vachi nannu leputhadu door open cheyamani😏
Sowmya,Kani eppudu velthado thelidhu😂
Sowmya,Okokka sari velladu
Sowmya,Nakemo kopam vachidhi
Sowmya,Lock vesi key dachi pedatha inka
Sowmya,Repati nunchi nenu theeyanu ani anta
SINHA,Hmm sarle ... Eesari nunchi nene cheysta le
Sowmya,Vadhule
SINHA,Haha.. 😅
SINHA,Sarle...
Sowmya,🤣
SINHA,kani gurtu vachav cheyadaniki vellu leydhu anthey
Sowmya,Ponile
Sowmya,9 days
Sowmya,Baga gadichipoyai naku aithee
SINHA,Ha naku
Sowmya,Continue cheyi
SINHA,Naku kuda antuna
Sowmya,Ohoo
Sowmya,Neeku endhuku avvadhule
SINHA,😌..... Always
Sowmya,Hmmmm
Sowmya,Naku everyday okelaaa vuntadhi
Sowmya,Bed
Sowmya,Food
Sowmya,Tv
Sowmya,Phone
SINHA,Maku anthele... Kani memu bayataki velli edho sadinchina valla laga late ga vastam anthey... 😁
Sowmya,Nenu bayatiki kooda vellanu
Sowmya,Antee intlone byata vuntam
SINHA,Hmm.... Anthey difference migatadhi antha same
Sowmya,Aha
SINHA,Hmm
SINHA,Rastunava ??
Sowmya,Ante..
Sowmya,Book open chesanu kani
Sowmya,Rayala
SINHA,Hmm rayi mari
Sowmya,Nv rayava
SINHA,Rastuna
Sowmya,Ohooo
SINHA,Just LAN WAN MAN avvini
Sowmya,Enni ayippyai
Sowmya,Congratulations
SINHA,Tnx... 😌
Sowmya,😂
Sowmya,Sammathame lo
Sowmya,Bullet la song vinnava
Sowmya,Carrom board aduthunte ma anna pettadu
Sowmya,Asalu ee holidays lo oka 30 times vini vunta
SINHA,Ha ha Naku eestame
Sowmya,Vinnava.....
SINHA,Ha vinna.... Naku eestame
Sowmya,Kadha....naku chalaaa nachindhi
SINHA,Ha avunu
Sowmya,Liger lo kalalo kooda song vinnava
SINHA,Eh song?
Sowmya,https://youtu.be/YzKUwddx158
SINHA,Hmm nyc.... Aa Movie lo entha manchi song vuntundhi anukoley
SINHA,Bagundhi ... 👍
Sowmya,Chala.... Baguntadhi
SINHA,Ha bagundhi
SINHA,Raseysava?
Sowmya,6th question half varaku ayyindhi
Sowmya,Needhi
SINHA,4th question start cheysa
Sowmya,Abbo
Sowmya,Appude
SINHA,Manam rayadam start cheystey alaaney vuntundhi le... 😁
Sowmya,Baga cheppav le
Sowmya,Thagginchi rasthunnav anukunta
SINHA,Ha anthey... 😅
Sowmya,Mari
SINHA,Alaaney rastuna
Sowmya,Hmmm
Sowmya,Good night
SINHA,Hey aipoyindha
SINHA,Kastapadi 5 rasa ... Migata 2 rep lab lo nv raseyduvu le... 🤗
SINHA,Gud night
Sowmya,Ha
Sowmya,🙄
Sowmya,Rasthe antha okalle rayali
Sowmya,Vellava lab ki
SINHA,Nv raleyda ?
SINHA,Nenu clg bayata vunna
Sowmya,Sare wait
Sowmya,Idharam kalisi veldham
Sowmya,Naki thodu vundava
SINHA,Ekkada vunav
Sowmya,Sarele velthe vellule
SINHA,Nv ekkada?
Sowmya,Palnadu bus stand
SINHA,Ra mundhey vunna
Sowmya,CN record chesava
SINHA,Sowmyaaaa.......
SINHA,Repa submission?
Sowmya,Deergalu theeyanaku na valla kadhamma
Sowmya,Friday
Sowmya,4 hrs lo ayipoindhi
SINHA,Oh okk
SINHA,Ame kadhu Sowmya aaaa........ 😁
Sowmya,Rayadam
Sowmya,This message was deleted
Sowmya,Ayipoindhi kadh ayipoidhi
SINHA,Sare sare
SINHA,Res assignment appudu?
Sowmya,Vammoo idhi kooda vundha😬
SINHA,Ha vundhi ga mari
Sowmya,Repu aithe nenu rasukuranu
SINHA,Appudo cheppale akni rayale
Sowmya,Sare
Sowmya,Thinnava
SINHA,Ha just now
SINHA,Nv?
Sowmya,Thinala
SINHA,Thineysa
Sowmya,Enti
SINHA,Thinnanu antuna
Sowmya,Oho
SINHA,Ha
Sowmya,Nenu kooda thinnale🤭😜
SINHA,10 avutundhi ga
Sowmya,Thinna
SINHA,Oh okk
Sowmya,Hmm
Sowmya,Start chesthava ledha ee roju
Sowmya,Mee ishtam Friday kalla ayipokapothe boost ayyidhi neeku
SINHA,Ha antha rep afternoon start cheysina aipothundhi
SINHA,Eevala interest leydhu le sowmayaa
Sowmya,Repu rava clg ki
Sowmya,Neeku eppudu vundhi cheppu
SINHA,Vasta afternoon kali eh ga
Sowmya,Clg lo vuntav ga
SINHA,Oyy ala. Annaku submission mundhu night vunatadhi Naku interest
Sowmya,Nv start chesesariki repu night avuthadhi naku thelusu
Sowmya,Sarele sry😅
SINHA,😁😁
SINHA,Sowmya deal matladu kovacha
Sowmya,Enti
Sowmya,Cheppu
SINHA,Saturday nv Naku... DWDM record evvu nenu neeku Outputs paste cheysi eesta
Sowmya,🙄🙄🙄🙄🙄
Sowmya,Chaaaalw chendalanga vundhi
Sowmya,Nenu dwdm inka 2md experiement lone vunna thelusa
SINHA,Avunu outputs paste cheyadame ga
SINHA,Nv rastunava?
Sowmya,Emo thelidhu mari
Sowmya,Inka em anukola
SINHA,Theliadhu kadhu paste cheyamaney chepparu
Sowmya,Sare
Sowmya,Aithe nenu kooda alane chestha
SINHA,Nv kadhu class motham alaaney cheyali
Sowmya,Mari already rasina vallu
SINHA,Valla sangati manaki anduku le...
Sowmya,Hmm
SINHA,Thondara paduko sundara vadana annaru peddalu andukey.... 😅
Sowmya,Ahaa .....
SINHA,Ha... 😅
Sowmya,Sinha choosi nerchukondi
Sowmya,Ani em cheppaledha
SINHA,Haha leydhu le.... Nanu chusi nerchukontey andaru Naku la aipotaru malli Naku nachadu adhi.... 😁😅
Sowmya,😲
Sowmya,Neelaga brathakali chalaa kashtam le
SINHA,😐
SINHA,Nv pogudutunava teedutunava sowmyaa... 🙄
Sowmya,Nenu aithe em pogadatla
Sowmya,🤣
SINHA,Hehe tnx.... 😏
Sowmya,Ur always welcome
SINHA,😏😏😏
Sowmya,Enti
Sowmya,Welcome ante ala pedathav moham
SINHA,Teetindhi Kaaka welcome anta
Sowmya,Mari
Sowmya,Andhuke
Sowmya,Thitti nappudu
Sowmya,Thnx ani ante
Sowmya,Naku nachadhu
SINHA,Naku Evaraina teetina nachadu... 😒😒
Sowmya,😂🤣
Sowmya,Ippudu ninnu nenu emanna thittana cheppu
Sowmya,Nenu thittanu sinha
Sowmya,Edho...baaaaaaagaaaaaaaaa close ayithe
Sowmya,"Maa annani , thammudini"
SINHA,Ohho ithy ok... 🙃
Sowmya,Moham pagalagodatha ani anta
Sowmya,Bayata vallani
Sowmya,Ninnu em ananule
SINHA,Antey mamalana
Sowmya,Ootha padam adhi intlo
Sowmya,Em ananj
Sowmya,Ananu
Sowmya,Ninnu kooda em ananulu nenu
Sowmya,Ante..malli memu bayata vallama ani adagamaku🤣🤣
SINHA,Ippudu close antunava kadhu antunava
Sowmya,Ofcourse close a
Sowmya,Kani thittanu
SINHA,.
Sowmya,😂
Sowmya,Pichi sinha
Sowmya,Abbaa
Sowmya,Pichi ante nijanga pichi kadhu
Sowmya,🤣🤦‍♀️
Sowmya,Baga navvochi maatalu kanii panulu kani cute ga vunte
SINHA,Close ayyina vallani antav ok
Sowmya,Antee ayomayam ga vunnappudu
Sowmya,Anatam le
Sowmya,Sare nv edhi anukunte adhi po
SINHA,Nenu cose antav... Thittanu antav
SINHA,Sarle
Sowmya,Mari nenu moham pagalagodatha ani anta🤣
Sowmya,Haa anthey sinhaa
SINHA,Ok ok
Sowmya,Hmm
Sowmya,Fnds ni maha aithe
Sowmya,Show cheyamaku
Sowmya,Over action cheyamaku
Sowmya,Ani anta anthey
Sowmya,Mimmalni antha twaraga ananule
Sowmya,"Chaitanya ,ni Manoj ni ane vunta"
SINHA,Entha inaa vallu close ga
Sowmya,Antee
Sowmya,Vallu
Sowmya,Pichi pichiga
Sowmya,Gola chesi
Sowmya,Edhedho antaru
Sowmya,Andhuku anta
Sowmya,Meeru ala anaru kadha
Sowmya,Nenu inka em antanu
SINHA,Sare sare lab lo matladam..... 😁
Sowmya,Vadhule😂
Sowmya,Oka vela naa pakkana nv vuntee
Sowmya,Nenu naa pani choosukunta emoo
Sowmya,Em matladav pettav kabatti
SINHA,Ame peytali... 🙄
Sowmya,Pettav anteee
Sowmya,Shabbaa
SINHA,Bayata nv matladav ga
Sowmya,Mari Ila vunnav enti sinha nuvvu......
Sowmya,Nena nenu endhuku matladanu
Sowmya,Em cheyav pettav
Sowmya,Matladav pettav
Sowmya,Ani general ga antaruga
Sowmya,Thelidha
SINHA,Antey adhi verey meaning ki vellipotundhi Sowmya.... 🤭😅
Sowmya,🤣🤦‍♀️
Sowmya,Vammoo
Sowmya,Kadhule
Sowmya,General ga ala antaru
SINHA,Same dialogue eedari lovers madya oohinchuko.... 😂
Sowmya,Aina nenu ninnu em adugutha cheppu
SINHA,Ha ame aadugutav
Sowmya,Naku ardham aindhi lee
Sowmya,Adhe em adaganu kadhaa
Sowmya,Ninnu
Sowmya,Anukunna nv adhe anukunnav ani
SINHA,Haha adhi Sowmya.... 🤭
Sowmya,Namaskaram
Sowmya,Neeku
Sowmya,Nenu okati chepthunna
Sowmya,Neeku inkokati ardham avuthundhi
Sowmya,Po asalu
SINHA,sare saradaga aana le
Sowmya,Nenu cheppedhi neeku ardham avuthundho ledho ardham avvatla naku
Sowmya,Asalu eee emoji pettav choodu akkada🤣🤣🤣🤣
SINHA,Sare sare vuruko
SINHA,Eedhi continue chei
Sowmya,Inka em vundhileee
SINHA,ha cheppu......
Sowmya,Are
Sowmya,Em ledhu adhe
Sowmya,Inka
Sowmya,Ee year fest ki dance vesthunnava?
SINHA,Eedhey na sare
Sowmya,Ha
SINHA,Naku dance radhu Sowmya... 😐
Sowmya,Abbaa
Sowmya,Aditya
Sowmya,Dinesh
Sowmya,Mari Baga hype istharugaa
Sowmya,Sinha adhi sinha idhii
Sowmya,Maamulga dance veyadu ani
SINHA,Avuana ame ani .. 😅
Sowmya,Edokatile😂
Sowmya,Aditya aithe okasari
SINHA,Antha leydhu Naku radhu sowmya
Sowmya,My fnd living legend annaduu
Sowmya,Abbo anna
Sowmya,Vachi ane anukuntunna nenh
Sowmya,Kani complete dance choodali needhi
Sowmya,Dinesh annadu 
Sowmya,Ee fest dance vesthunnav ani cheppindhi Dinesh a
SINHA,Hmm avvachu
Sowmya,Kavalante adugu annadu
Sowmya,Ante vachi anega
SINHA,Nv cheyadam chusa le reels cheystav ga
Sowmya,Okkate ga choosindhi
Sowmya,Reels cheyanu
Sowmya,Only dance a amma
SINHA,Ha dance reels eh sowmya
Sowmya,Hmmm
Sowmya,Cheppu ee fest ki vesthunnava ledhaaa
SINHA,Max leydhu
Sowmya,Mari Dinesh endhuku ala cheppadu🙄
Sowmya,Naku aasa pettadu
SINHA,Emo teliadhu vallu adiginappudu ala cheppi vunta le
Sowmya,Hmmchh
SINHA,Nv veyochu ga ala antey
Sowmya,Nenu veyanu
SINHA,Yy so
Sowmya,Naku chala ishtam kani anthe bhayam kooda
Sowmya,Baga dnace vesthe fan ayipotha nenu inka
SINHA,Evariki??
Sowmya,Evaraina
SINHA,Bayam deniki le adhi povadanimey gaeevi ani
Sowmya,Naku podhulee
SINHA,Naku same... 😁
SINHA,Andukey encourage cheyanu antha
Sowmya,Nenu bhayama???
Sowmya,Nice
Sowmya,Nenu a vishyam lo brathimaladanu
SINHA,Nanna??
Sowmya,Evarinain
SINHA,You deleted this message
Sowmya,Ninnu adigaina waste
Sowmya,Evaraina*
Sowmya,Nuvvu anukunnadhe chesthav kabatti
SINHA,Sarle kanisam farewell ki ina veydam anukona
Sowmya,Nijanganaaa
SINHA,Motham poyindhi....
Sowmya,Ammooo maamulga navvukovatla🤣🤣🤣🤣🤣
Sowmya,Em poindhi
SINHA,Vallaki kuda appudu cheppukole.... Kani adhi fantasy la ala vundipoyindhi
Sowmya,Entidhi
SINHA,<Media omitted>
SINHA,Dream
Sowmya,Ammo baboii 🤣🤣🤣🤣🤣
Sowmya,Sinha...sinha
Sowmya,Nijamm nenu ninnu dance veyi ani adiginantha mathram nuvvu em veyav ga
Sowmya,Em dream andi
SINHA,Inko rendu sarlu adigi vuntey oppeysukondunu telsaa
Sowmya,Thelusu oppukovu ani
Sowmya,Aku thelusule nee sangathi
SINHA,Nenu school lo prathi program ki practice cheyseyvallam... Kani konni programs ki perform cheysam
Sowmya,Sare mari ippudu 100 times adugutha vesthava mari?
SINHA,Intermediate break vacheysindhi aa tarvata stage ekki matladam thappa oka performance kuda leydhu
Sowmya,Haha
Sowmya,Naku mathram dance anna dance vesevallanna ishtamm
SINHA,Ala ani group performance antha Baga cheyalem... So solo ga fourth year lo veystey baguntundhi ani anukontuna
Sowmya,Aha...
SINHA,Secret evariki cheppaku malli ... 🤫🤫
Sowmya,Idhiga secrete a@
SINHA,Nycc
Sowmya,Asalu nenu ela navvukuntunnano🤣🤣
SINHA,Neeku alaaney vuntundhi le
Sowmya,🤭
Sowmya,Sare sare
SINHA,Hmm
Sowmya,Hmmm
Sowmya,Dance rakaapoiana veyali ani vuntaru choodu
Sowmya,Vallante inka ishtam
SINHA,Haaa
SINHA,Hmm hmm very nyc
Sowmya,Ninana nene kadhialincha
Sowmya,Ee roju nene kadilincha
Sowmya,Inka konni rojulu varakua kadilincha koodadhua anai anukunta
SINHA,😂
SINHA,Ayyo sowmya... Choodam
Sowmya,Hmm
Sowmya,Marii
SINHA,Eesari vundanivvanu ga
SINHA,Disturb cheysta le
Sowmya,Roju disturb chesthee
Sowmya,Bagodhu
Sowmya,Choodham ani anamaku
SINHA,Sare choodam
Sowmya,Sare mariii
SINHA,CN choosava
Sowmya,Vunta
SINHA,Rep aaduguta annaru
Sowmya,Nenu choodanu
SINHA,Toppers le entha inaa
Sowmya,Vammooo repu class vundha 🙆🏻‍♀️
Sowmya,🥲😑
SINHA,Meeru kangaru padatara... 😕😯
Sowmya,Cheee ee madhya annniii marchipothunana
Sowmya,A nenu manishini kadha
Sowmya,Ante malli Friday anukunna class
Sowmya,Shhh🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️
SINHA,Repati nunchi nenu gurtu cheysta le sowmyaa.... 😁
Sowmya,Nenu em em marchipothunano neeku Ela thelusthai
Sowmya,😅
Sowmya,Hmmchhh asalu marchipoya sinha
Sowmya,Pedha tension a pettav ga@
SINHA,Amaindhi sowmya
Sowmya,Repu class vundhiga
SINHA,Ha vundhi
Sowmya,Gurthu vunna em chadavanu anuko😅🤣
Sowmya,Kani adhi oka badha
SINHA,Sowmya... Sowmya.... 😅
Sowmya,Mundhu gane prepare ayi vundaliga strong ga
SINHA,Malli dreams loki vacheystaru anna... 😂
Sowmya,Nooo
Sowmya,Marchipoya
Sowmya,Mental ga prepare avvalia
Sowmya,Repua cn class vundhia
SINHA,Ha avvali ga
Sowmya,Em kadhule aniaa
Sowmya,🤣🤣
SINHA,Ha vundhi after break
Sowmya,Nv cheppaka poi vunte
Sowmya,Repu class lo sir ni choosi kachitanga shock ayyedhanni
SINHA,Ha
Sowmya,Prepare ayayava nav
SINHA,Mrng leychi chudu inaa okasari
Sowmya,Nuvvu
Sowmya,Na valla kadhu 🤣🤣
SINHA,Chustuna Protocols
Sowmya,Nannu emanna questions adugu🤭
Sowmya,Em protocola
SINHA,Ippuda?
SINHA,Multiple access protocols
Sowmya,Vadhule
Sowmya,Hmm
SINHA,Ha paduko le inkaa
Sowmya,Sir first nunchi adugutharu
SINHA,Avuna choodam
Sowmya,Nanna adagarule
Sowmya,Dinesh me adigedhi🤣😂
Sowmya,Nannu*
SINHA,Ha... Vadu pakka dorukutadu.... 😂
Sowmya,Paaapamm
Sowmya,Ninnu kooda adugutharule
Sowmya,Repu
SINHA,😐... Hope for the best
Sowmya,Anthey anthey
Sowmya,Nannu aithe adagaru
Sowmya,Repu adigithe okavela inka navvukuntav kadhaa
SINHA,Emo choodam
Sowmya,Nannu
SINHA,Ha... Pakka... 😂😂
Sowmya,Chee chee
SINHA,😅😁😁
Sowmya,Sarele chaduvukoo
Sowmya,Bye
SINHA,Hmm gud night
Sowmya,Good
Sowmya,Spelling
SINHA,Uffffo.... 😐
SINHA,Sowmyaa... Sowmyaa....
Sowmya,Haa Sowmya ne vinny
SINHA,Abba ... ☺️
Sowmya,Nachindha?😄
SINHA,Haaaa... 😄
Sowmya,Naku aa name thelisinappude nachindhi piludham anukunna
Sowmya,Kani endhukule
Sowmya,Malli nachidho ledho ani pilavala nenu😐😐
SINHA,Haha... 😅
SINHA,Hey Naku eestame aa peru tho pilavadam... Entha ina first name adhey ca
Sowmya,Sare
Sowmya,Aina malli 1:46 ki reply ichav enti eppudoo choosi
SINHA,Malli msg choosi eechanu
Sowmya,🤣
SINHA,Ekkada
Sowmya,Class lo
Sowmya,This message was deleted
Sowmya,This message was deleted
SINHA,Sowmyaa.....
SINHA,12 appudu ayyini sowmyaa
Sowmya,Thelidhu nakoda
SINHA,Nv ekkada varaku rasav
Sowmya,9
SINHA,😮
Sowmya,Half n hour lo ayipotahi
Sowmya,Rayi
Sowmya,Programs a ga
SINHA,🤕🤕
Sowmya,Enti
SINHA,Naku interest ravatle.... 😒
Sowmya,Nenu neeku
Sowmya,Ninne cheppa
Sowmya,Start cheyamani
SINHA,Nenu rasta annachu ga... 🙃
Sowmya,Ledhu...repu afternoon rasthale
Sowmya,Nenu emm vere class kadhu Mee class a 
Sowmya,Aina...record motham oke writing vundali
Sowmya,Ippudu start chesina ayipoidhi
SINHA,Edho friendly ga adiganu le .... 🙄
Sowmya,Entha slow ga rasina
Sowmya,Easy ga
SINHA,Sare sare
Sowmya,9 kalla 8 anna ayipothai
Sowmya,🤣🤣
Sowmya,Sare mari start cheyiiiii
SINHA,Haaaaaa
Sowmya,Hmmmm
Sowmya,All the best
Sowmya,Ayipothai leee
Sowmya,Nv marii asalu
SINHA,Hope for the best .... 🙂
Sowmya,Chillaki cheppinatlu cheppa ninna...
Sowmya,Sarele ala ani repu rakunda vundamaku
SINHA,Complete cheysta
Sowmya,Cheppanuga
Sowmya,Twaragane ayipodhi
SINHA,Haaa ok ok
Sowmya,Half n hour kadhu🤦‍♀️🤦‍♀️
SINHA,😮‍💨😮‍💨
SINHA,Uffff.... Ok start cheydam
Sowmya,Haa cheyi cheyii😁🤭
SINHA,😌😌😌
SINHA,Start with peace
Sowmya,Haa cheyi
Sowmya,Class join avvava
Sowmya,Attendance waste
SINHA,Hey ok Baga gurtu cheysav sowmyaa.....
Sowmya,Nv naku gurthu chestha annav
Sowmya,Nene gurthu chesthunna🤦‍♀️
SINHA,Marchipoya... 😅
Sowmya,Enni rasav sinha
SINHA,2 programs avvini Sowmya....
SINHA,😮‍💨😮‍💨
Sowmya,Ha?
Sowmya,🙄
SINHA,Antey nenu python lo rastuna kada so code motham marchalsi vastundhi anduku
Sowmya,Vundalsina vadiveeeee
Sowmya,Ala aithe kashtamee
SINHA,Ha choodam aani avithey ani choopista anthey
SINHA,Exams ame kadhu ga inaa
Sowmya,😲
Sowmya,Naku doubt a repu vasthavani
SINHA,Deniki antha shock
SINHA,Eh vasta vasta
Sowmya,Enni ayipothe Anni choopistha annav ga
Sowmya,Arustharu ga
SINHA,Evaru?
SINHA,Rakesh sir aa??
Sowmya,Ha
SINHA,😅... Choodam
Sowmya,Enti choosedhi
SINHA,🙄
Sowmya,Enti ala choosthav mari aravara??
SINHA,Bet aa
SINHA,Aaravaru ani
Sowmya,Sinha ki emanna special vundha
Sowmya,Aravadam antee
Sowmya,Atleast adugutharu
SINHA,Leydhu kani arichey antha ame vundadhu ani
Sowmya,Ayyoo neekumma dare naku vinteee ippatiki chaalaaa maripoyedhannj
SINHA,Adhi manam convince cheyseydani batti vuntundhi
Sowmya,Adhe nenu aithe...okka mata kooda padalenu
Sowmya,Entammaa inne rasav
Sowmya,Ani adigina
Sowmya,Naku nachadu
Sowmya,Adhola vuntadhi
Sowmya,Mng bits corect Aina wrong vesthe
Sowmya,Nenu vellala
Sowmya,Antha mohamatam
SINHA,Ha prathidi patinchukontey mundhu ki Vella lem Sowmya...
Sowmya,Nenu pattinchukuntane veltha😂
SINHA,Hmm sare sare
Sowmya,Sarele rasuko
SINHA,Nek ardam avutundhi le Edho oka situation lo
Sowmya,Time waste malli neeku
SINHA,Nek aipoyindha?
Sowmya,😑😑😑
Sowmya,10 ayipoyai
Sowmya,Inka 2 a ga
Sowmya,Dwdm radham anukunna
Sowmya,Kani jaya pdf choosthe naku mental vachidhi
Sowmya,Emmmmmmmmmmm ardham kala
Sowmya,Ninna nv annav choodu
Sowmya,Motham poindhi ani
Sowmya,Ala ayyindhi naa paristhithi
SINHA,Ha... 😂
SINHA,Thanu outputs rasindha?
Sowmya,Deniki
Sowmya,CN aa
SINHA,DWDM
Sowmya,Dwdm aa rasindhi anukunta
Sowmya,Naku aithee okkati kooda ardham kala
SINHA,Sare manam paste cheydam
Sowmya,Paiga
Sowmya,Question numbers kooda cut ayyai pdf lo
Sowmya,Inka choodu
SINHA,Hmm
Sowmya,Sareleee
Sowmya,Outputs vunte naku pdf pettu
SINHA,Rep okasari lab lo choopinchu pdf
SINHA,Execute cheyali rep kurchoni
Sowmya,Nee opikaki🙏🙏
SINHA,Sare cheydam antha kastam ame kaadhu
Sowmya,Ippudu pettamante pedatha
Sowmya,Vadhule
Sowmya,Malli ardham kaka
SINHA,Ha rayali CN veltaa
Sowmya,Nv chestha ante nenu endhuku aaputha cheyi le
Sowmya,Ekkadiki velthav
SINHA,Rayadaniki
Sowmya,Oho
Sowmya,Sarele rasukooo
Sowmya,Repu
Sowmya,1st period online
Sowmya,2nd period madam raru anukunta
SINHA,Ha avunu
SINHA,Kalisi vachindhi time
Sowmya,Inka break tharuvatha vasthava
SINHA,Ha choodam
Sowmya,Aha...
Sowmya,Sarele rasukoo....
Sowmya,Good night
SINHA,Haha 😂
Sowmya,Baga
SINHA,Haaa... 😅
Sowmya,Hey
Sowmya,Outputs*
SINHA,Leydhu Sowmya..... Nenu ninu adugudam anukontuna
Sowmya,😅
Sowmya,Asalu chesava emanna
SINHA,.... 😴😐
Sowmya,Enti
SINHA,Cheyale
Sowmya,Sare sare
Sowmya,Nenu chesanu ani anukuntunnava🙄
SINHA,Ha 100%.... 😌
Sowmya,Bagundhi andi
SINHA,Y Sowmya...
Sowmya,Oka vela cheyaledhu ante nee reaction enti😬
SINHA,😯😐
Sowmya,Idha reaction
SINHA,Haa
Sowmya,Sare ippudu em chedham anukuntunnav
SINHA,Manuals lo leva screen shots?
Sowmya,Vunnai
Sowmya,Kani clarity vundav ga
SINHA,Elanti samyam lo veeru landharu Tarachu ga cheppey maata ento telsa....
Sowmya,Thelidhu
Sowmya,🤣🤣🤣🤣🤣🤣
SINHA,😒
Sowmya,🤣🤣🤣🤣
SINHA,Oka maata lo teesyesav... 🤦
Sowmya,Asalu...maamulga navvu ravtla
Sowmya,Sinha sinha🤣🤣😂
SINHA,Ok ok cool....
SINHA,Sare start cheysta le ippudu
SINHA,Konni ina pamputa
Sowmya,Vadhule
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,<Media omitted>
Sowmya,Nenu chesa
Sowmya,2:30 ki start chesthe...7 ki ayipoindhi
SINHA,Nyc Sowmya..... 🤩🤩
SINHA,Next avi avi cheyalo cheppu kanicheysta
Sowmya,Sarele
Sowmya,Enti
Sowmya,PDFs lo...vunnai kadha outputs
